25, 7275
50, 5325
75, 4100
100, 3350
125, 2875
150, 2475
175, 2225
200, 2050
225, 1900
400, 1275
500, 1150
700, 1050
1000, 1050
1500, 1050
2000, 1050
2500, 1050
