79.88, 3215
81.01, 2842
83.32, 2391
83.32, 2037
88.13, 1800
93.22, 1572
100, 1372
108.8, 1198
118.4, 1099
130.6, 995.9
144.1, 913.5
161.2, 848.3
177.8, 797.6
199, 740.7
225.8, 696.4
256.2, 662.9
290.7, 615.6
339.2, 564.7
390.4, 505.3
442.9, 469.3
502.6, 430.5
546.8, 390
603.2, 357.7
656.3, 332.2
704, 297.3
765.9, 266.1
844.9, 226.7
919.2, 197.9
958.8, 172.8
1000, 147.2
1058, 128.5
1103, 109.5
1184, 93.25
1217, 79.43
1270, 67.66
1288, 57.64
1306, 47.9
1343, 41.82
1362, 36.07
1381, 30.35
1401, 26.17
